,home,away,score,season,home_stadium,away_stadium,home_coordinates,away_coordinates,distance
134,Everton,Liverpool,2–1,1992-93,Goodison Park,Anfield,"53.4387191, -2.9664539939087415","53.4308358, -2.9609095414165294",0.591301805512045
135,Everton,Manchester City,1–3,1992-93,Goodison Park,City of Manchester Stadium,"53.4387191, -2.9664539939087415","53.48309105, -2.2002520023433307",31.770703950417023
136,Everton,Manchester United,0–2,1992-93,Goodison Park,Old Trafford,"53.4387191, -2.9664539939087415","53.46310955, -2.2913864850545362",27.918500820070086
137,Everton,Middlesbrough,2–2,1992-93,Goodison Park,Riverside Stadium,"53.4387191, -2.9664539939087415","54.57831335, -1.2169383040174622",106.25655540971366
138,Everton,Norwich City,0–1,1992-93,Goodison Park,Carrow Road,"53.4387191, -2.9664539939087415","52.6219835, 1.3101317640023948",186.97941915263112
139,Everton,Nottingham Forest,3–0,1992-93,Goodison Park,City Ground,"53.4387191, -2.9664539939087415","52.93993865, -1.1328954461216225",83.59927739865104
140,Everton,Oldham Athletic,2–2,1992-93,Goodison Park,Boundary Park,"53.4387191, -2.9664539939087415","53.555117800000005, -2.128417592493478",35.48266869391522
141,Everton,Queens Park Rangers,3–5,1992-93,Goodison Park,Loftus Road,"53.4387191, -2.9664539939087415","51.5420327, 0.0769485",183.54066742281407
142,Everton,Sheffield United,0–2,1992-93,Goodison Park,Bramall Lane,"53.4387191, -2.9664539939087415","53.3703478, -1.4697008060650654",62.03437631074201
143,Everton,Sheffield Wednesday,1–1,1992-93,Goodison Park,Hillsborough,"53.4387191, -2.9664539939087415","53.41137895, -1.500631103337827",60.57615066209088
144,Everton,Southampton,2–1,1992-93,Goodison Park,St Mary's Stadium,"53.4387191, -2.9664539939087415","50.90582665, -1.390881661218431",187.48422344566495
145,Everton,Tottenham Hotspur,1–2,1992-93,Goodison Park,Tottenham Hotspur Stadium,"53.4387191, -2.9664539939087415","51.604157, -0.0662604100000004",176.19176657871688
146,Everton,Wimbledon,0–0,1992-93,Goodison Park,Selhurst Park,"53.4387191, -2.9664539939087415","51.39824295, -0.085255058181276",186.3591878597796
147,Ipswich Town,Arsenal,1–2,1992-93,Portman Road,Emirates Stadium,"52.0572985, 1.145841","51.55504035, -0.1083996708672374",63.993645444083825
148,Ipswich Town,Aston Villa,1–1,1992-93,Portman Road,Villa Park,"52.0572985, 1.145841","52.5091264, -1.8850354312212985",132.2546610474341
149,Ipswich Town,Blackburn Rovers,2–1,1992-93,Portman Road,Ewood Park,"52.0572985, 1.145841","53.728608949999995, -2.4892582964443477",190.92237811975107
150,Ipswich Town,Chelsea,1–1,1992-93,Portman Road,Stamford Bridge,"52.0572985, 1.145841","51.481686499999995, -0.19103517666346065",69.79717716352155
151,Ipswich Town,Coventry City,0–0,1992-93,Portman Road,Coventry Building Society Arena,"52.0572985, 1.145841","52.44816495, -1.4971183945757918",115.35367283584917
152,Ipswich Town,Crystal Palace,2–2,1992-93,Portman Road,Selhurst Park,"52.0572985, 1.145841","51.39824295, -0.085255058181276",69.78125384273058
153,Ipswich Town,Everton,1–0,1992-93,Portman Road,Goodison Park,"52.0572985, 1.145841","53.4387191, -2.9664539939087415",197.18237194210818
154,Ipswich Town,Leeds United,4–2,1992-93,Portman Road,Elland Road,"52.0572985, 1.145841","53.764161, -1.5832414",164.12858234349997
155,Ipswich Town,Liverpool,2–2,1992-93,Portman Road,Anfield,"52.0572985, 1.145841","53.4308358, -2.9609095414165294",196.72908086001874
156,Ipswich Town,Manchester City,3–1,1992-93,Portman Road,City of Manchester Stadium,"52.0572985, 1.145841","53.48309105, -2.2002520023433307",171.47143905885113
157,Ipswich Town,Manchester United,2–1,1992-93,Portman Road,Old Trafford,"52.0572985, 1.145841","53.46310955, -2.2913864850545362",173.86240674003156
158,Ipswich Town,Middlesbrough,0–1,1992-93,Portman Road,Riverside Stadium,"52.0572985, 1.145841","54.57831335, -1.2169383040174622",199.8902349490348
159,Ipswich Town,Norwich City,3–1,1992-93,Portman Road,Carrow Road,"52.0572985, 1.145841","52.6219835, 1.3101317640023948",39.658730029623534
160,Ipswich Town,Nottingham Forest,2–1,1992-93,Portman Road,City Ground,"52.0572985, 1.145841","52.93993865, -1.1328954461216225",113.88344079123404
161,Ipswich Town,Oldham Athletic,1–2,1992-93,Portman Road,Boundary Park,"52.0572985, 1.145841","53.555117800000005, -2.128417592493478",171.87733389646655
162,Ipswich Town,Queens Park Rangers,1–1,1992-93,Portman Road,Loftus Road,"52.0572985, 1.145841","51.5420327, 0.0769485",58.036021039340646
163,Ipswich Town,Sheffield United,0–0,1992-93,Portman Road,Bramall Lane,"52.0572985, 1.145841","53.3703478, -1.4697008060650654",142.48535517424435
