,home,away,score,season,home_stadium,away_stadium,home_coordinates,away_coordinates,distance
9181,Newcastle United,Everton,0–1,2015-16,St James' Park,Goodison Park,"54.9754693, -1.621873666214279","53.4387191, -2.9664539939087415",119.44762936330277
9182,Newcastle United,Leicester City,0–3,2015-16,St James' Park,King Power Stadium,"54.9754693, -1.621873666214279","52.62039695, -1.1423352051152724",164.05333688519048
9183,Newcastle United,Liverpool,2–0,2015-16,St James' Park,Anfield,"54.9754693, -1.621873666214279","53.4308358, -2.9609095414165294",119.83332074626148
9184,Newcastle United,Manchester City,1–1,2015-16,St James' Park,City of Manchester Stadium,"54.9754693, -1.621873666214279","53.48309105, -2.2002520023433307",105.84583767116422
9185,Newcastle United,Manchester United,3–3,2015-16,St James' Park,Old Trafford,"54.9754693, -1.621873666214279","53.46310955, -2.2913864850545362",108.06264935608701
9186,Newcastle United,Norwich City,6–2,2015-16,St James' Park,Carrow Road,"54.9754693, -1.621873666214279","52.6219835, 1.3101317640023948",202.20819425531752
9187,Newcastle United,Southampton,2–2,2015-16,St James' Park,St Mary's Stadium,"54.9754693, -1.621873666214279","50.90582665, -1.390881661218431",281.57793391787885
9188,Newcastle United,Stoke City,0–0,2015-16,St James' Park,bet365 Stadium,"54.9754693, -1.621873666214279","52.9883401, -2.1755918764705897",139.2728789282183
9189,Newcastle United,Sunderland,1–1,2015-16,St James' Park,Stadium of Light,"54.9754693, -1.621873666214279","54.914395299999995, -1.3882579326202478",10.216612583677078
9190,Newcastle United,Swansea City,3–0,2015-16,St James' Park,Liberty Stadium,"54.9754693, -1.621873666214279","51.6436839, -3.9368469",249.5243871287542
9191,Newcastle United,Tottenham Hotspur,5–1,2015-16,St James' Park,Tottenham Hotspur Stadium,"54.9754693, -1.621873666214279","51.604157, -0.0662604100000004",241.86876746869447
9192,Newcastle United,Watford,1–2,2015-16,St James' Park,Vicarage Road,"54.9754693, -1.621873666214279","51.6501515, -0.4032259",235.42147080564988
9193,Newcastle United,West Bromwich Albion,1–0,2015-16,St James' Park,The Hawthorns,"54.9754693, -1.621873666214279","52.50916535, -1.9636560652183848",171.14040758938197
9194,Newcastle United,West Ham United,2–1,2015-16,St James' Park,London Stadium,"54.9754693, -1.621873666214279","51.53862065, -0.016623759002470637",246.79735053010512
9195,Norwich City,Arsenal,1–1,2015-16,Carrow Road,Emirates Stadium,"52.6219835, 1.3101317640023948","51.55504035, -0.1083996708672374",95.34672960922497
9196,Norwich City,Aston Villa,2–0,2015-16,Carrow Road,Villa Park,"52.6219835, 1.3101317640023948","52.5091264, -1.8850354312212985",134.84217597260078
9197,Norwich City,Bournemouth,3–1,2015-16,Carrow Road,Dean Court,"52.6219835, 1.3101317640023948","50.73518145, -1.8383279465003122",187.9208475483687
9198,Norwich City,Chelsea,1–2,2015-16,Carrow Road,Stamford Bridge,"52.6219835, 1.3101317640023948","51.481686499999995, -0.19103517666346065",101.53343450062937
9199,Norwich City,Crystal Palace,1–3,2015-16,Carrow Road,Selhurst Park,"52.6219835, 1.3101317640023948","51.39824295, -0.085255058181276",103.44964760088583
9200,Norwich City,Everton,1–1,2015-16,Carrow Road,Goodison Park,"52.6219835, 1.3101317640023948","53.4387191, -2.9664539939087415",186.97941915263112
9201,Norwich City,Leicester City,1–2,2015-16,Carrow Road,King Power Stadium,"52.6219835, 1.3101317640023948","52.62039695, -1.1423352051152724",103.19817506697004
9202,Norwich City,Liverpool,4–5,2015-16,Carrow Road,Anfield,"52.6219835, 1.3101317640023948","53.4308358, -2.9609095414165294",186.6107228899
9203,Norwich City,Manchester City,0–0,2015-16,Carrow Road,City of Manchester Stadium,"52.6219835, 1.3101317640023948","53.48309105, -2.2002520023433307",157.90022532939307
9204,Norwich City,Manchester United,0–1,2015-16,Carrow Road,Old Trafford,"52.6219835, 1.3101317640023948","53.46310955, -2.2913864850545362",160.9503053331535
9205,Norwich City,Newcastle United,3–2,2015-16,Carrow Road,St James' Park,"52.6219835, 1.3101317640023948","54.9754693, -1.621873666214279",202.20819425531752
9206,Norwich City,Southampton,1–0,2015-16,Carrow Road,St Mary's Stadium,"52.6219835, 1.3101317640023948","50.90582665, -1.390881661218431",165.81809704911782
9207,Norwich City,Stoke City,1–1,2015-16,Carrow Road,bet365 Stadium,"52.6219835, 1.3101317640023948","52.9883401, -2.1755918764705897",148.2330377301799
9208,Norwich City,Sunderland,0–3,2015-16,Carrow Road,Stadium of Light,"52.6219835, 1.3101317640023948","54.914395299999995, -1.3882579326202478",193.25299143460632
9209,Norwich City,Swansea City,1–0,2015-16,Carrow Road,Liberty Stadium,"52.6219835, 1.3101317640023948","51.6436839, -3.9368469",233.2087162171941
9210,Norwich City,Tottenham Hotspur,0–3,2015-16,Carrow Road,Tottenham Hotspur Stadium,"52.6219835, 1.3101317640023948","51.604157, -0.0662604100000004",91.56554873204364
9211,Norwich City,Watford,4–2,2015-16,Carrow Road,Vicarage Road,"52.6219835, 1.3101317640023948","51.6501515, -0.4032259",99.1336024182698
9212,Norwich City,West Bromwich Albion,0–1,2015-16,Carrow Road,The Hawthorns,"52.6219835, 1.3101317640023948","52.50916535, -1.9636560652183848",138.14836456272099
9213,Norwich City,West Ham United,2–2,2015-16,Carrow Road,London Stadium,"52.6219835, 1.3101317640023948","51.53862065, -0.016623759002470637",93.82962695316117
9214,Southampton,Arsenal,4–0,2015-16,St Mary's Stadium,Emirates Stadium,"50.90582665, -1.390881661218431","51.55504035, -0.1083996708672374",71.50008498688054
9215,Southampton,Aston Villa,1–1,2015-16,St Mary's Stadium,Villa Park,"50.90582665, -1.390881661218431","52.5091264, -1.8850354312212985",112.85697585520244
9216,Southampton,Bournemouth,2–0,2015-16,St Mary's Stadium,Dean Court,"50.90582665, -1.390881661218431","50.73518145, -1.8383279465003122",22.869067600105755
9217,Southampton,Chelsea,1–2,2015-16,St Mary's Stadium,Stamford Bridge,"50.90582665, -1.390881661218431","51.481686499999995, -0.19103517666346065",65.5802634867851
9218,Southampton,Crystal Palace,4–1,2015-16,St Mary's Stadium,Selhurst Park,"50.90582665, -1.390881661218431","51.39824295, -0.085255058181276",66.18625495325222
9219,Southampton,Everton,0–3,2015-16,St Mary's Stadium,Goodison Park,"50.90582665, -1.390881661218431","53.4387191, -2.9664539939087415",187.48422344566495
9220,Southampton,Leicester City,2–2,2015-16,St Mary's Stadium,King Power Stadium,"50.90582665, -1.390881661218431","52.62039695, -1.1423352051152724",119.016076291141
9221,Southampton,Liverpool,3–2,2015-16,St Mary's Stadium,Anfield,"50.90582665, -1.390881661218431","53.4308358, -2.9609095414165294",186.89305817352593
9222,Southampton,Manchester City,4–2,2015-16,St Mary's Stadium,City of Manchester Stadium,"50.90582665, -1.390881661218431","53.48309105, -2.2002520023433307",181.4783619609462
9223,Southampton,Manchester United,2–3,2015-16,St Mary's Stadium,Old Trafford,"50.90582665, -1.390881661218431","53.46310955, -2.2913864850545362",180.9020488221547
9224,Southampton,Newcastle United,3–1,2015-16,St Mary's Stadium,St James' Park,"50.90582665, -1.390881661218431","54.9754693, -1.621873666214279",281.57793391787885
9225,Southampton,Norwich City,3–0,2015-16,St Mary's Stadium,Carrow Road,"50.90582665, -1.390881661218431","52.6219835, 1.3101317640023948",165.81809704911782
9226,Southampton,Stoke City,0–1,2015-16,St Mary's Stadium,bet365 Stadium,"50.90582665, -1.390881661218431","52.9883401, -2.1755918764705897",147.82955951907007
9227,Southampton,Sunderland,1–1,2015-16,St Mary's Stadium,Stadium of Light,"50.90582665, -1.390881661218431","54.914395299999995, -1.3882579326202478",277.1883534557659
9228,Southampton,Swansea City,3–1,2015-16,St Mary's Stadium,Liberty Stadium,"50.90582665, -1.390881661218431","51.6436839, -3.9368469",121.6003452372136
9229,Southampton,Tottenham Hotspur,0–2,2015-16,St Mary's Stadium,Tottenham Hotspur Stadium,"50.90582665, -1.390881661218431","51.604157, -0.0662604100000004",75.0463785721952
9230,Southampton,Watford,2–0,2015-16,St Mary's Stadium,Vicarage Road,"50.90582665, -1.390881661218431","51.6501515, -0.4032259",66.94180244434101
9231,Southampton,West Bromwich Albion,3–0,2015-16,St Mary's Stadium,The Hawthorns,"50.90582665, -1.390881661218431","52.50916535, -1.9636560652183848",113.54288661365456
9232,Southampton,West Ham United,1–0,2015-16,St Mary's Stadium,London Stadium,"50.90582665, -1.390881661218431","51.53862065, -0.016623759002470637",73.97428275553311
9233,Stoke City,Arsenal,0–0,2015-16,bet365 Stadium,Emirates Stadium,"52.9883401, -2.1755918764705897","51.55504035, -0.1083996708672374",132.31028341635783
9234,Stoke City,Aston Villa,2–1,2015-16,bet365 Stadium,Villa Park,"52.9883401, -2.1755918764705897","52.5091264, -1.8850354312212985",35.30774642508812
9235,Stoke City,Bournemouth,2–1,2015-16,bet365 Stadium,Dean Court,"52.9883401, -2.1755918764705897","50.73518145, -1.8383279465003122",156.44294436960715
9236,Stoke City,Chelsea,1–0,2015-16,bet365 Stadium,Stamford Bridge,"52.9883401, -2.1755918764705897","51.481686499999995, -0.19103517666346065",133.96341834712413
9237,Stoke City,Crystal Palace,1–2,2015-16,bet365 Stadium,Selhurst Park,"52.9883401, -2.1755918764705897","51.39824295, -0.085255058181276",141.3229499556869
9238,Stoke City,Everton,0–3,2015-16,bet365 Stadium,Goodison Park,"52.9883401, -2.1755918764705897","53.4387191, -2.9664539939087415",45.251880355596505
9239,Stoke City,Leicester City,2–2,2015-16,bet365 Stadium,King Power Stadium,"52.9883401, -2.1755918764705897","52.62039695, -1.1423352051152724",50.220091615541406
9240,Stoke City,Liverpool,0–1,2015-16,bet365 Stadium,Anfield,"52.9883401, -2.1755918764705897","53.4308358, -2.9609095414165294",44.71252166780648
9241,Stoke City,Manchester City,2–0,2015-16,bet365 Stadium,City of Manchester Stadium,"52.9883401, -2.1755918764705897","53.48309105, -2.2002520023433307",34.22872528993381
9242,Stoke City,Manchester United,2–0,2015-16,bet365 Stadium,Old Trafford,"52.9883401, -2.1755918764705897","53.46310955, -2.2913864850545362",33.18139178692039
9243,Stoke City,Newcastle United,1–0,2015-16,bet365 Stadium,St James' Park,"52.9883401, -2.1755918764705897","54.9754693, -1.621873666214279",139.2728789282183
9244,Stoke City,Norwich City,3–1,2015-16,bet365 Stadium,Carrow Road,"52.9883401, -2.1755918764705897","52.6219835, 1.3101317640023948",148.2330377301799
9245,Stoke City,Southampton,1–2,2015-16,bet365 Stadium,St Mary's Stadium,"52.9883401, -2.1755918764705897","50.90582665, -1.390881661218431",147.82955951907007
9246,Stoke City,Sunderland,1–1,2015-16,bet365 Stadium,Stadium of Light,"52.9883401, -2.1755918764705897","54.914395299999995, -1.3882579326202478",137.02326522267293
9247,Stoke City,Swansea City,2–2,2015-16,bet365 Stadium,Liberty Stadium,"52.9883401, -2.1755918764705897","51.6436839, -3.9368469",119.21290492611826
9248,Stoke City,Tottenham Hotspur,0–4,2015-16,bet365 Stadium,Tottenham Hotspur Stadium,"52.9883401, -2.1755918764705897","51.604157, -0.0662604100000004",130.96694901969846
9249,Stoke City,Watford,0–2,2015-16,bet365 Stadium,Vicarage Road,"52.9883401, -2.1755918764705897","51.6501515, -0.4032259",119.15719043914585
9250,Stoke City,West Bromwich Albion,0–1,2015-16,bet365 Stadium,The Hawthorns,"52.9883401, -2.1755918764705897","52.50916535, -1.9636560652183848",34.30609686418649
9251,Stoke City,West Ham United,2–1,2015-16,bet365 Stadium,London Stadium,"52.9883401, -2.1755918764705897","51.53862065, -0.016623759002470637",135.76745387780977
9252,Sunderland,Arsenal,0–0,2015-16,Stadium of Light,Emirates Stadium,"54.914395299999995, -1.3882579326202478","51.55504035, -0.1083996708672374",238.2895775092823
9253,Sunderland,Aston Villa,3–1,2015-16,Stadium of Light,Villa Park,"54.914395299999995, -1.3882579326202478","52.5091264, -1.8850354312212985",167.5872317844864
9254,Sunderland,Bournemouth,1–1,2015-16,Stadium of Light,Dean Court,"54.914395299999995, -1.3882579326202478","50.73518145, -1.8383279465003122",289.5965988473333
9255,Sunderland,Chelsea,3–2,2015-16,Stadium of Light,Stamford Bridge,"54.914395299999995, -1.3882579326202478","51.481686499999995, -0.19103517666346065",242.52028830516423
9256,Sunderland,Crystal Palace,2–2,2015-16,Stadium of Light,Selhurst Park,"54.914395299999995, -1.3882579326202478","51.39824295, -0.085255058181276",249.0956597368903
9257,Sunderland,Everton,3–0,2015-16,Stadium of Light,Goodison Park,"54.914395299999995, -1.3882579326202478","53.4387191, -2.9664539939087415",120.48065649188544
9258,Sunderland,Leicester City,0–2,2015-16,Stadium of Light,King Power Stadium,"54.914395299999995, -1.3882579326202478","52.62039695, -1.1423352051152724",158.97001409831688
9259,Sunderland,Liverpool,0–1,2015-16,Stadium of Light,Anfield,"54.914395299999995, -1.3882579326202478","53.4308358, -2.9609095414165294",120.8270704720017
9260,Sunderland,Manchester City,0–1,2015-16,Stadium of Light,City of Manchester Stadium,"54.914395299999995, -1.3882579326202478","53.48309105, -2.2002520023433307",104.32567717714834
9261,Sunderland,Manchester United,2–1,2015-16,Stadium of Light,Old Trafford,"54.914395299999995, -1.3882579326202478","53.46310955, -2.2913864850545362",106.85003439125472
9262,Sunderland,Newcastle United,3–0,2015-16,Stadium of Light,St James' Park,"54.914395299999995, -1.3882579326202478","54.9754693, -1.621873666214279",10.216612583677078
9263,Sunderland,Norwich City,1–3,2015-16,Stadium of Light,Carrow Road,"54.914395299999995, -1.3882579326202478","52.6219835, 1.3101317640023948",193.25299143460632
9264,Sunderland,Southampton,0–1,2015-16,Stadium of Light,St Mary's Stadium,"54.914395299999995, -1.3882579326202478","50.90582665, -1.390881661218431",277.1883534557659
9265,Sunderland,Stoke City,2–0,2015-16,Stadium of Light,bet365 Stadium,"54.914395299999995, -1.3882579326202478","52.9883401, -2.1755918764705897",137.02326522267293
9266,Sunderland,Swansea City,1–1,2015-16,Stadium of Light,Liberty Stadium,"54.914395299999995, -1.3882579326202478","51.6436839, -3.9368469",249.59039625727138
9267,Sunderland,Tottenham Hotspur,0–1,2015-16,Stadium of Light,Tottenham Hotspur Stadium,"54.914395299999995, -1.3882579326202478","51.604157, -0.0662604100000004",235.37395685251963
9268,Sunderland,Watford,0–1,2015-16,Stadium of Light,Vicarage Road,"54.914395299999995, -1.3882579326202478","51.6501515, -0.4032259",229.38882939155042
9269,Sunderland,West Bromwich Albion,0–0,2015-16,Stadium of Light,The Hawthorns,"54.914395299999995, -1.3882579326202478","52.50916535, -1.9636560652183848",168.00695858438377
9270,Sunderland,West Ham United,2–2,2015-16,Stadium of Light,London Stadium,"54.914395299999995, -1.3882579326202478","51.53862065, -0.016623759002470637",240.27050733867807
9271,Swansea City,Arsenal,0–3,2015-16,Liberty Stadium,Emirates Stadium,"51.6436839, -3.9368469","51.55504035, -0.1083996708672374",164.92663403901292
9272,Swansea City,Aston Villa,1–0,2015-16,Liberty Stadium,Villa Park,"51.6436839, -3.9368469","52.5091264, -1.8850354312212985",105.92286733812189
9273,Swansea City,Bournemouth,2–2,2015-16,Liberty Stadium,Dean Court,"51.6436839, -3.9368469","50.73518145, -1.8383279465003122",110.69416455730035
9274,Swansea City,Chelsea,1–0,2015-16,Liberty Stadium,Stamford Bridge,"51.6436839, -3.9368469","51.481686499999995, -0.19103517666346065",161.77389931012746
9275,Swansea City,Crystal Palace,1–1,2015-16,Liberty Stadium,Selhurst Park,"51.6436839, -3.9368469","51.39824295, -0.085255058181276",166.95809221056777
9276,Swansea City,Everton,0–0,2015-16,Liberty Stadium,Goodison Park,"51.6436839, -3.9368469","53.4387191, -2.9664539939087415",130.68212466306755
9277,Swansea City,Leicester City,0–3,2015-16,Liberty Stadium,King Power Stadium,"51.6436839, -3.9368469","52.62039695, -1.1423352051152724",136.72777732272922
9278,Swansea City,Liverpool,3–1,2015-16,Liberty Stadium,Anfield,"51.6436839, -3.9368469","53.4308358, -2.9609095414165294",130.23925965315473
9279,Swansea City,Manchester City,1–1,2015-16,Liberty Stadium,City of Manchester Stadium,"51.6436839, -3.9368469","53.48309105, -2.2002520023433307",146.72297086067076
9280,Swansea City,Manchester United,2–1,2015-16,Liberty Stadium,Old Trafford,"51.6436839, -3.9368469","53.46310955, -2.2913864850545362",143.64320030137415
9281,Swansea City,Newcastle United,2–0,2015-16,Liberty Stadium,St James' Park,"51.6436839, -3.9368469","54.9754693, -1.621873666214279",249.5243871287542
9282,Swansea City,Norwich City,1–0,2015-16,Liberty Stadium,Carrow Road,"51.6436839, -3.9368469","52.6219835, 1.3101317640023948",233.2087162171941
9283,Swansea City,Southampton,0–1,2015-16,Liberty Stadium,St Mary's Stadium,"51.6436839, -3.9368469","50.90582665, -1.390881661218431",121.6003452372136
9284,Swansea City,Stoke City,0–1,2015-16,Liberty Stadium,bet365 Stadium,"51.6436839, -3.9368469","52.9883401, -2.1755918764705897",119.21290492611826
9285,Swansea City,Sunderland,2–4,2015-16,Liberty Stadium,Stadium of Light,"51.6436839, -3.9368469","54.914395299999995, -1.3882579326202478",249.59039625727138
9286,Swansea City,Tottenham Hotspur,2–2,2015-16,Liberty Stadium,Tottenham Hotspur Stadium,"51.6436839, -3.9368469","51.604157, -0.0662604100000004",166.55898488987796
9287,Swansea City,Watford,1–0,2015-16,Liberty Stadium,Vicarage Road,"51.6436839, -3.9368469","51.6501515, -0.4032259",151.96497870777918
9288,Swansea City,West Bromwich Albion,1–0,2015-16,Liberty Stadium,The Hawthorns,"51.6436839, -3.9368469","52.50916535, -1.9636560652183848",103.17839377428919
9289,Swansea City,West Ham United,0–0,2015-16,Liberty Stadium,London Stadium,"51.6436839, -3.9368469","51.53862065, -0.016623759002470637",168.9493088960096
9290,Tottenham Hotspur,Arsenal,2–2,2015-16,Tottenham Hotspur Stadium,Emirates Stadium,"51.604157, -0.0662604100000004","51.55504035, -0.1083996708672374",3.850268692416027
9291,Tottenham Hotspur,Aston Villa,3–1,2015-16,Tottenham Hotspur Stadium,Villa Park,"51.604157, -0.0662604100000004","52.5091264, -1.8850354312212985",99.61289281044768
9292,Tottenham Hotspur,Bournemouth,3–0,2015-16,Tottenham Hotspur Stadium,Dean Court,"51.604157, -0.0662604100000004","50.73518145, -1.8383279465003122",97.6659171706461
9293,Tottenham Hotspur,Chelsea,0–0,2015-16,Tottenham Hotspur Stadium,Stamford Bridge,"51.604157, -0.0662604100000004","51.481686499999995, -0.19103517666346065",10.030791911167189
9294,Tottenham Hotspur,Crystal Palace,1–0,2015-16,Tottenham Hotspur Stadium,Selhurst Park,"51.604157, -0.0662604100000004","51.39824295, -0.085255058181276",14.258910611775795
9295,Tottenham Hotspur,Everton,0–0,2015-16,Tottenham Hotspur Stadium,Goodison Park,"51.604157, -0.0662604100000004","53.4387191, -2.9664539939087415",176.19176657871688
9296,Tottenham Hotspur,Leicester City,0–1,2015-16,Tottenham Hotspur Stadium,King Power Stadium,"51.604157, -0.0662604100000004","52.62039695, -1.1423352051152724",83.87276347959926
9297,Tottenham Hotspur,Liverpool,0–0,2015-16,Tottenham Hotspur Stadium,Anfield,"51.604157, -0.0662604100000004","53.4308358, -2.9609095414165294",175.64496040805957
9298,Tottenham Hotspur,Manchester City,4–1,2015-16,Tottenham Hotspur Stadium,City of Manchester Stadium,"51.604157, -0.0662604100000004","53.48309105, -2.2002520023433307",158.00800634475294
9299,Tottenham Hotspur,Manchester United,3–0,2015-16,Tottenham Hotspur Stadium,Old Trafford,"51.604157, -0.0662604100000004","53.46310955, -2.2913864850545362",159.11937083497463
9300,Tottenham Hotspur,Newcastle United,1–2,2015-16,Tottenham Hotspur Stadium,St James' Park,"51.604157, -0.0662604100000004","54.9754693, -1.621873666214279",241.86876746869447
9301,Tottenham Hotspur,Norwich City,3–0,2015-16,Tottenham Hotspur Stadium,Carrow Road,"51.604157, -0.0662604100000004","52.6219835, 1.3101317640023948",91.56554873204364
9302,Tottenham Hotspur,Southampton,1–2,2015-16,Tottenham Hotspur Stadium,St Mary's Stadium,"51.604157, -0.0662604100000004","50.90582665, -1.390881661218431",75.0463785721952
9303,Tottenham Hotspur,Stoke City,2–2,2015-16,Tottenham Hotspur Stadium,bet365 Stadium,"51.604157, -0.0662604100000004","52.9883401, -2.1755918764705897",130.96694901969846
9304,Tottenham Hotspur,Sunderland,4–1,2015-16,Tottenham Hotspur Stadium,Stadium of Light,"51.604157, -0.0662604100000004","54.914395299999995, -1.3882579326202478",235.37395685251963
9305,Tottenham Hotspur,Swansea City,2–1,2015-16,Tottenham Hotspur Stadium,Liberty Stadium,"51.604157, -0.0662604100000004","51.6436839, -3.9368469",166.55898488987796
9306,Tottenham Hotspur,Watford,1–0,2015-16,Tottenham Hotspur Stadium,Vicarage Road,"51.604157, -0.0662604100000004","51.6501515, -0.4032259",14.84357452563702
9307,Tottenham Hotspur,West Bromwich Albion,1–1,2015-16,Tottenham Hotspur Stadium,The Hawthorns,"51.604157, -0.0662604100000004","52.50916535, -1.9636560652183848",102.24316534112002
9308,Tottenham Hotspur,West Ham United,4–1,2015-16,Tottenham Hotspur Stadium,London Stadium,"51.604157, -0.0662604100000004","51.53862065, -0.016623759002470637",5.010023128110013
9309,Watford,Arsenal,0–3,2015-16,Vicarage Road,Emirates Stadium,"51.6501515, -0.4032259","51.55504035, -0.1083996708672374",14.294728116403407
9310,Watford,Aston Villa,3–2,2015-16,Vicarage Road,Villa Park,"51.6501515, -0.4032259","52.5091264, -1.8850354312212985",86.66605342010018
9311,Watford,Bournemouth,0–0,2015-16,Vicarage Road,Dean Court,"51.6501515, -0.4032259","50.73518145, -1.8383279465003122",88.80357166103566
9312,Watford,Chelsea,0–0,2015-16,Vicarage Road,Stamford Bridge,"51.6501515, -0.4032259","51.481686499999995, -0.19103517666346065",14.806273150484031
9313,Watford,Crystal Palace,0–1,2015-16,Vicarage Road,Selhurst Park,"51.6501515, -0.4032259","51.39824295, -0.085255058181276",22.165761108294394
9314,Watford,Everton,1–1,2015-16,Vicarage Road,Goodison Park,"51.6501515, -0.4032259","53.4387191, -2.9664539939087415",164.20296971449585
9315,Watford,Leicester City,0–1,2015-16,Vicarage Road,King Power Stadium,"51.6501515, -0.4032259","52.62039695, -1.1423352051152724",74.08635680946719
9316,Watford,Liverpool,3–0,2015-16,Vicarage Road,Anfield,"51.6501515, -0.4032259","53.4308358, -2.9609095414165294",163.64530099607313
9317,Watford,Manchester City,1–2,2015-16,Vicarage Road,City of Manchester Stadium,"51.6501515, -0.4032259","53.48309105, -2.2002520023433307",147.62173272125204
9318,Watford,Manchester United,1–2,2015-16,Vicarage Road,Old Trafford,"51.6501515, -0.4032259","53.46310955, -2.2913864850545362",148.46752497768725
9319,Watford,Newcastle United,2–1,2015-16,Vicarage Road,St James' Park,"51.6501515, -0.4032259","54.9754693, -1.621873666214279",235.42147080564988
9320,Watford,Norwich City,2–0,2015-16,Vicarage Road,Carrow Road,"51.6501515, -0.4032259","52.6219835, 1.3101317640023948",99.1336024182698
9321,Watford,Southampton,0–0,2015-16,Vicarage Road,St Mary's Stadium,"51.6501515, -0.4032259","50.90582665, -1.390881661218431",66.94180244434101
9322,Watford,Stoke City,1–2,2015-16,Vicarage Road,bet365 Stadium,"51.6501515, -0.4032259","52.9883401, -2.1755918764705897",119.15719043914585
9323,Watford,Sunderland,2–2,2015-16,Vicarage Road,Stadium of Light,"51.6501515, -0.4032259","54.914395299999995, -1.3882579326202478",229.38882939155042
9324,Watford,Swansea City,1–0,2015-16,Vicarage Road,Liberty Stadium,"51.6501515, -0.4032259","51.6436839, -3.9368469",151.96497870777918
9325,Watford,Tottenham Hotspur,1–2,2015-16,Vicarage Road,Tottenham Hotspur Stadium,"51.6501515, -0.4032259","51.604157, -0.0662604100000004",14.84357452563702
9326,Watford,West Bromwich Albion,0–0,2015-16,Vicarage Road,The Hawthorns,"51.6501515, -0.4032259","52.50916535, -1.9636560652183848",89.13627234087889
9327,Watford,West Ham United,2–0,2015-16,Vicarage Road,London Stadium,"51.6501515, -0.4032259","51.53862065, -0.016623759002470637",18.345724185244286
9328,West Bromwich Albion,Arsenal,2–1,2015-16,The Hawthorns,Emirates Stadium,"52.50916535, -1.9636560652183848","51.55504035, -0.1083996708672374",103.0034712642754
9329,West Bromwich Albion,Aston Villa,0–0,2015-16,The Hawthorns,Villa Park,"52.50916535, -1.9636560652183848","52.5091264, -1.8850354312212985",3.3169037248880526
9330,West Bromwich Albion,Bournemouth,1–2,2015-16,The Hawthorns,Dean Court,"52.50916535, -1.9636560652183848","50.73518145, -1.8383279465003122",122.76080546872144
9331,West Bromwich Albion,Chelsea,2–3,2015-16,The Hawthorns,Stamford Bridge,"52.50916535, -1.9636560652183848","51.481686499999995, -0.19103517666346065",103.77221175499386
9332,West Bromwich Albion,Crystal Palace,3–2,2015-16,The Hawthorns,Selhurst Park,"52.50916535, -1.9636560652183848","51.39824295, -0.085255058181276",111.07020101297451
9333,West Bromwich Albion,Everton,2–3,2015-16,The Hawthorns,Goodison Park,"52.50916535, -1.9636560652183848","53.4387191, -2.9664539939087415",76.70479840081111
9334,West Bromwich Albion,Leicester City,2–3,2015-16,The Hawthorns,King Power Stadium,"52.50916535, -1.9636560652183848","52.62039695, -1.1423352051152724",35.45082701672614
9335,West Bromwich Albion,Liverpool,1–1,2015-16,The Hawthorns,Anfield,"52.50916535, -1.9636560652183848","53.4308358, -2.9609095414165294",76.1238369130986
9336,West Bromwich Albion,Manchester City,0–3,2015-16,The Hawthorns,City of Manchester Stadium,"52.50916535, -1.9636560652183848","53.48309105, -2.2002520023433307",68.06643159880863
9337,West Bromwich Albion,Manchester United,1–0,2015-16,The Hawthorns,Old Trafford,"52.50916535, -1.9636560652183848","53.46310955, -2.2913864850545362",67.36777876290611
9338,West Bromwich Albion,Newcastle United,1–0,2015-16,The Hawthorns,St James' Park,"52.50916535, -1.9636560652183848","54.9754693, -1.621873666214279",171.14040758938197
9339,West Bromwich Albion,Norwich City,0–1,2015-16,The Hawthorns,Carrow Road,"52.50916535, -1.9636560652183848","52.6219835, 1.3101317640023948",138.14836456272099
9340,West Bromwich Albion,Southampton,0–0,2015-16,The Hawthorns,St Mary's Stadium,"52.50916535, -1.9636560652183848","50.90582665, -1.390881661218431",113.54288661365456
9341,West Bromwich Albion,Stoke City,2–1,2015-16,The Hawthorns,bet365 Stadium,"52.50916535, -1.9636560652183848","52.9883401, -2.1755918764705897",34.30609686418649
9342,West Bromwich Albion,Sunderland,1–0,2015-16,The Hawthorns,Stadium of Light,"52.50916535, -1.9636560652183848","54.914395299999995, -1.3882579326202478",168.00695858438377
9343,West Bromwich Albion,Swansea City,1–1,2015-16,The Hawthorns,Liberty Stadium,"52.50916535, -1.9636560652183848","51.6436839, -3.9368469",103.17839377428919
9344,West Bromwich Albion,Tottenham Hotspur,1–1,2015-16,The Hawthorns,Tottenham Hotspur Stadium,"52.50916535, -1.9636560652183848","51.604157, -0.0662604100000004",102.24316534112002
9345,West Bromwich Albion,Watford,0–1,2015-16,The Hawthorns,Vicarage Road,"52.50916535, -1.9636560652183848","51.6501515, -0.4032259",89.13627234087889
9346,West Bromwich Albion,West Ham United,0–3,2015-16,The Hawthorns,London Stadium,"52.50916535, -1.9636560652183848","51.53862065, -0.016623759002470637",106.75994345465716
9347,West Ham United,Arsenal,3–3,2015-16,London Stadium,Emirates Stadium,"51.53862065, -0.016623759002470637","51.55504035, -0.1083996708672374",4.1155600359863795
9348,West Ham United,Aston Villa,2–0,2015-16,London Stadium,Villa Park,"51.53862065, -0.016623759002470637","52.5091264, -1.8850354312212985",104.17181156699158
9349,West Ham United,Bournemouth,3–4,2015-16,London Stadium,Dean Court,"51.53862065, -0.016623759002470637","50.73518145, -1.8383279465003122",96.75049123929074
9350,West Ham United,Chelsea,2–1,2015-16,London Stadium,Stamford Bridge,"51.53862065, -0.016623759002470637","51.481686499999995, -0.19103517666346065",8.49122971234757
